Name,Address,Coordinates,Polling area,Postcode,Premises,Suburb,Type
Ainslie North,136 Majura Avenue,"lat: -35.255295, lng: 149.147507",Senior Hall,2602,North Ainslie Primary School,Ainslie,Static Polling Place
Amaroo,135 Katherine Avenue,"lat: -35.164513, Ing: 149.128387",Hall/Canteen,2914,Amaroo School,Amaroo,Static Polling Place
Aranda,1 Banambila Street,"lat: -35.255314, lng: 149.080322",General Purpose Hall,2614,Aranda Primary School,Aranda,Static Polling Place
Bonner,60 Mabo Boulevard,"lat: -35.161709, lng: 149.140756",School Hall,2914,Neville Bonner Primary School,Bonner,Static Polling Place
Bonython,64 Hurtle Ave,"lat: -35.430943, lng: 149.08252",Hall,2615,Bonython Primary School,Bonython,Static Polling Place
Ainslie,33 Donaldson Street,"lat: -35.273299, Ing: 149.141730",YERRA Building,2612,Ainslie School,Brandon,Static Polling Place
Calwell,111 Casey Crescent,"lat: -35.440746, Ing: 149.117599",Gym,2905,Calwell High School,Calwell,Static Polling Place
Campbell,25 Chauvel St,"lat: -35.290752, Ing: 149.155594",AssGym,2612,Campbell Primary School,Campbell,Static Polling Place
Chapman,50 Perry Drive,"lat: -35.356277, Ing: 149.043015",School Hall,2611,Chapman Primary School,Chapman,Static Polling Place
Charnwood,25 Lhotsky Street,"lat: -35.205223, lng: 149.030483",Hall,2617,St Thomas Aquinas Primary School,Charnwood,Static Polling Place
Charnwood North,95 Bettington Circuit,"lat: -35.198719, Ing: 149.036179",School Hall,2615,Charnwood-Dunlop School,Charnwood,Static Polling Place
Coombs,80 Woodberry Avenue,"lat: -35.322382, lng: 149.042317",Hall,2904,Charles Weston School,Coombs,Static Polling Place
Curtin,Theodore Street,"lat: -35.330921, Ing: 149.079758",Hall,2605,Curtin Primary School,Curtin,Static Polling Place
Deakin,24 Grey St,"lat: -35.312139, Ing: 149.110754",Junior Grammer School hall,2600,Canberra Girls Grammar School (Junior School),Deakin,Static Polling Place
Downer,Frencham Place,"lat: -35.244885, lng: 149.144907",West and East Hall,2602,Downer Community Centre,Downer,Static Polling Place
Duffy,47 Burrinjuck Crescent,"lat: -35.33483, Ing: 149.03324",Hall,2611,Duffy Primary School,Duffy,Static Polling Place
Evatt,42 Heydon Cres,"lat: -35.20725, Ing: 149.0776",Assembly Hall,2617,Evatt Primary School,Evatt,Static Polling Place
Evatt South,Alderman Street,"lat: -35.213676, Ing: 149.066147",school hall,2617,Miles Franklin Primary School,Evatt,Static Polling Place
Fadden,5 Hanlon Cres,"lat: -35.40374, Ing: 149.11822",Hall,2904,Fadden Primary School,Fadden,Static Polling Place
Farrer,Lambrigg Street,"lat: -35.37812, Ing: 149.10683",Hall,2607,Farrer Primary School,Farrer,Static Polling Place
Florey,12 Barnard Circuit,"lat: -35.22626, Ing: 149.04044",Performing Arts area,2914,St Francis Xavier College,Florey,Static Polling Place
Forde,Cnr Francis Forde Blvd & Hurrell St,"lat: -35.17091, Ing: 149.14284",Forde Campus Hall,2914,Burgmann Anglican School - Forde,FORDE,Static Polling Place
Fraser,177 Tillyard Drive,"lat: -35.191893, lng: 149.043024",School Hall,2611,Fraser Primary School,Fraser,Static Polling Place
Garran,136 Gilmore Crescent,"lat: -35.344677, Ing: 149.102936",,2605,Garran Primary School,Garran,Static Polling Place
Gilmore,219 Heagney Crescent,"lat: -35.418915, Ing: 149.134659",School Hall,2905,Gilmore Primary School,Gilmore,Static Polling Place
Giralang,12 Atalumba Close,"lat: -35.21426, Ing: 149.09521",School hall,2617,Giralang Primary School,Giralang,Static Polling Place
Gordon,15 Knoke Avenue,"lat: -35.45644, Ing: 149.086731",Hall,2605,Gordon Primary School,Gordon,Static Polling Place
Gowrie,Jeffries Street,"lat: -35.413719, Ing: 149.110703",Old Hall,2904,Gowrie Primary School,Gowrie,Static Polling Place
Griffith,110 Canberra Avenue,"lat: -35.323277, lng: 149.145721",Gym,2603,St Edmund's College,Griffith,Static Polling Place
Hall,Corner Palmer and Hoskins Street,"lat: -35.166896, Ing: 149.069321",Library,2618,Hall School Museum,Hall,Static Polling Place
Holder,49 Mulley Street,"lat: -35.334171, lng: 149.049881",School Hall,2611,St Jude's Primary School,Holder,Static Polling Place
Holt,100 Starke Street,"lat: -35.227711, lng: 149.020844",Junior Hall / Gym,2615,Kingsford Smith School,Holt,Static Polling Place
Hughes,10 Groom Street,"lat: -35.331875, Ing: 149.093063",School Hall,2605,Hughes Primary School,Hughes,Static Polling Place
