booth,party,votes
Ainslie,ACT Labor,462
Ainslie,Animal Justice Party,19
Ainslie,Australian Climate Change Justice Party,13
Ainslie,Australian Federation Party Australian Capital Territory,0
Ainslie,Belco Party,5
Ainslie,Canberra Liberals,221
Ainslie,Canberra Progressives,60
Ainslie,David Pollard Independent,0
Ainslie,Labour DLP,3
Ainslie,Liberal Democrats,0
Ainslie,"Shooters, Fishers and Farmers Party (ACT)",1
Ainslie,Sustainable Australia - Stop overdevelopment. Stop corruption.,24
Ainslie,The ACT Greens,300
Ainslie,The Community Action Party (ACT),7
Ainslie,Ungrouped,18
Ainslie North,ACT Labor,461
Ainslie North,Animal Justice Party,31
Ainslie North,Australian Climate Change Justice Party,19
Ainslie North,Australian Federation Party Australian Capital Territory,0
Ainslie North,Belco Party,2
Ainslie North,Canberra Liberals,222
Ainslie North,Canberra Progressives,68
Ainslie North,David Pollard Independent,1
Ainslie North,Labour DLP,4
Ainslie North,Liberal Democrats,0
Ainslie North,"Shooters, Fishers and Farmers Party (ACT)",0
Ainslie North,Sustainable Australia - Stop overdevelopment. Stop corruption.,22
Ainslie North,The ACT Greens,418
Ainslie North,The Community Action Party (ACT),6
Ainslie North,Ungrouped,20
Amaroo,ACT Labor,344
Amaroo,Animal Justice Party,14
Amaroo,Australian Climate Change Justice Party,1
Amaroo,Australian Federation Party Australian Capital Territory,3
Amaroo,Belco Party,0
Amaroo,Canberra Liberals,330
Amaroo,Canberra Progressives,24
Amaroo,David Pollard Independent,20
Amaroo,Labour DLP,39
Amaroo,Liberal Democrats,1
Amaroo,"Shooters, Fishers and Farmers Party (ACT)",0
Amaroo,Sustainable Australia - Stop overdevelopment. Stop corruption.,9
Amaroo,The ACT Greens,86
Amaroo,The Community Action Party (ACT),0
Amaroo,Ungrouped,10
Aranda,ACT Labor,417
Aranda,Animal Justice Party,24
Aranda,Australian Climate Change Justice Party,10
Aranda,Australian Federation Party Australian Capital Territory,0
Aranda,Belco Party,41
Aranda,Canberra Liberals,167
Aranda,Canberra Progressives,2
Aranda,David Pollard Independent,0
Aranda,Labour DLP,9
Aranda,Liberal Democrats,4
Aranda,"Shooters, Fishers and Farmers Party (ACT)",8
Aranda,Sustainable Australia - Stop overdevelopment. Stop corruption.,24
Aranda,The ACT Greens,229
Aranda,The Community Action Party (ACT),0
Aranda,Ungrouped,12
Belconnen,ACT Labor,512
Belconnen,Animal Justice Party,34
Belconnen,Australian Climate Change Justice Party,17
Belconnen,Australian Federation Party Australian Capital Territory,0
Belconnen,Belco Party,83
Belconnen,Canberra Liberals,328
Belconnen,Canberra Progressives,11
Belconnen,David Pollard Independent,0
Belconnen,Labour DLP,62
Belconnen,Liberal Democrats,23
Belconnen,"Shooters, Fishers and Farmers Party (ACT)",21
Belconnen,Sustainable Australia - Stop overdevelopment. Stop corruption.,32
Belconnen,The ACT Greens,271
Belconnen,The Community Action Party (ACT),0
Belconnen,Ungrouped,29
Belconnen (Early voting),ACT Labor,8891
Belconnen (Early voting),Animal Justice Party,347
Belconnen (Early voting),Australian Climate Change Justice Party,222
Belconnen (Early voting),Australian Federation Party Australian Capital Territory,6
Belconnen (Early voting),Belco Party,1500
Belconnen (Early voting),Canberra Liberals,6543
Belconnen (Early voting),Canberra Progressives,137
Belconnen (Early voting),David Pollard Independent,121
Belconnen (Early voting),Labour DLP,690
Belconnen (Early voting),Liberal Democrats,168
Belconnen (Early voting),"Shooters, Fishers and Farmers Party (ACT)",337
Belconnen (Early voting),Sustainable Australia - Stop overdevelopment. Stop corruption.,395
Belconnen (Early voting),The ACT Greens,3002
Belconnen (Early voting),The Community Action Party (ACT),3
Belconnen (Early voting),Ungrouped,329
Bonner,ACT Labor,320
Bonner,Animal Justice Party,21
Bonner,Australian Climate Change Justice Party,0
Bonner,Australian Federation Party Australian Capital Territory,0
Bonner,Belco Party,4
Bonner,Canberra Liberals,323
Bonner,Canberra Progressives,21
Bonner,David Pollard Independent,15
Bonner,Labour DLP,50
Bonner,Liberal Democrats,0
Bonner,"Shooters, Fishers and Farmers Party (ACT)",2
Bonner,Sustainable Australia - Stop overdevelopment. Stop corruption.,7
Bonner,The ACT Greens,109
Bonner,The Community Action Party (ACT),0
Bonner,Ungrouped,9
Bonython,ACT Labor,165
Bonython,Animal Justice Party,9
Bonython,Australian Climate Change Justice Party,0
Bonython,Australian Federation Party Australian Capital Territory,3
Bonython,Belco Party,0
Bonython,Canberra Liberals,144
Bonython,Canberra Progressives,0
Bonython,David Pollard Independent,0
Bonython,Labour DLP,0
Bonython,Liberal Democrats,12
Bonython,"Shooters, Fishers and Farmers Party (ACT)",15
Bonython,Sustainable Australia - Stop overdevelopment. Stop corruption.,8
Bonython,The ACT Greens,49
Bonython,The Community Action Party (ACT),0
Bonython,Ungrouped,0
Calwell,ACT Labor,236
Calwell,Animal Justice Party,17
Calwell,Australian Climate Change Justice Party,0
Calwell,Australian Federation Party Australian Capital Territory,6
Calwell,Belco Party,0
Calwell,Canberra Liberals,201
Calwell,Canberra Progressives,0
Calwell,David Pollard Independent,0
Calwell,Labour DLP,0
Calwell,Liberal Democrats,9
Calwell,"Shooters, Fishers and Farmers Party (ACT)",26
Calwell,Sustainable Australia - Stop overdevelopment. Stop corruption.,17
Calwell,The ACT Greens,69
Calwell,The Community Action Party (ACT),0
Calwell,Ungrouped,0
Campbell,ACT Labor,436
Campbell,Animal Justice Party,14
Campbell,Australian Climate Change Justice Party,14
Campbell,Australian Federation Party Australian Capital Territory,0
Campbell,Belco Party,1
Campbell,Canberra Liberals,449
Campbell,Canberra Progressives,53
Campbell,David Pollard Independent,0
Campbell,Labour DLP,0
Campbell,Liberal Democrats,0
Campbell,"Shooters, Fishers and Farmers Party (ACT)",1
Campbell,Sustainable Australia - Stop overdevelopment. Stop corruption.,19
Campbell,The ACT Greens,205
Campbell,The Community Action Party (ACT),7
Campbell,Ungrouped,22
Chapman,ACT Labor,237
Chapman,Animal Justice Party,14
Chapman,Australian Climate Change Justice Party,6
Chapman,Australian Federation Party Australian Capital Territory,0
Chapman,Belco Party,0
Chapman,Canberra Liberals,229
Chapman,Canberra Progressives,21
Chapman,David Pollard Independent,0
Chapman,Labour DLP,0
Chapman,Liberal Democrats,1
Chapman,"Shooters, Fishers and Farmers Party (ACT)",15
Chapman,Sustainable Australia - Stop overdevelopment. Stop corruption.,18
Chapman,The ACT Greens,87
Chapman,The Community Action Party (ACT),0
Chapman,Ungrouped,58
Charnwood,ACT Labor,225
Charnwood,Animal Justice Party,23
Charnwood,Australian Climate Change Justice Party,11
Charnwood,Australian Federation Party Australian Capital Territory,0
Charnwood,Belco Party,95
Charnwood,Canberra Liberals,206
Charnwood,Canberra Progressives,1
