booth,party,votes
Ainslie,ACT Labor,2310
Ainslie,Animal Justice Party,95
Ainslie,Australian Climate Change Justice Party,65
Ainslie,Australian Federation Party Australian Capital Territory,0
Ainslie,Belco Party,25
Ainslie,Canberra Liberals,1105
Ainslie,Canberra Progressives,300
Ainslie,David Pollard Independent,0
Ainslie,Labour DLP,15
Ainslie,Liberal Democrats,0
Ainslie,"Shooters, Fishers and Farmers Party (ACT)",5
Ainslie,Sustainable Australia - Stop overdevelopment. Stop corruption.,120
Ainslie,The ACT Greens,1500
Ainslie,The Community Action Party (ACT),35
Ainslie,Ungrouped,90
Ainslie North,ACT Labor,2305
Ainslie North,Animal Justice Party,155
Ainslie North,Australian Climate Change Justice Party,95
Ainslie North,Australian Federation Party Australian Capital Territory,0
Ainslie North,Belco Party,10
Ainslie North,Canberra Liberals,1110
Ainslie North,Canberra Progressives,340
Ainslie North,David Pollard Independent,5
Ainslie North,Labour DLP,20
Ainslie North,Liberal Democrats,0
Ainslie North,"Shooters, Fishers and Farmers Party (ACT)",0
Ainslie North,Sustainable Australia - Stop overdevelopment. Stop corruption.,110
Ainslie North,The ACT Greens,2090
Ainslie North,The Community Action Party (ACT),30
Ainslie North,Ungrouped,100
Amalgamated,ACT Labor,3735
Amalgamated,Animal Justice Party,420
Amalgamated,Australian Climate Change Justice Party,130
Amalgamated,Australian Federation Party Australian Capital Territory,50
Amalgamated,Belco Party,215
Amalgamated,Canberra Liberals,3230
Amalgamated,Canberra Progressives,255
Amalgamated,David Pollard Independent,70
Amalgamated,Labour DLP,260
Amalgamated,Liberal Democrats,60
Amalgamated,"Shooters, Fishers and Farmers Party (ACT)",345
Amalgamated,Sustainable Australia - Stop overdevelopment. Stop corruption.,300
Amalgamated,The ACT Greens,1800
Amalgamated,The Community Action Party (ACT),10
Amalgamated,Ungrouped,185
Amaroo,ACT Labor,1720
Amaroo,Animal Justice Party,75
Amaroo,Australian Climate Change Justice Party,5
Amaroo,Australian Federation Party Australian Capital Territory,15
Amaroo,Belco Party,0
Amaroo,Canberra Liberals,1650
Amaroo,Canberra Progressives,120
Amaroo,David Pollard Independent,100
Amaroo,Labour DLP,195
Amaroo,Liberal Democrats,5
Amaroo,"Shooters, Fishers and Farmers Party (ACT)",0
Amaroo,Sustainable Australia - Stop overdevelopment. Stop corruption.,45
Amaroo,The ACT Greens,430
Amaroo,The Community Action Party (ACT),0
Amaroo,Ungrouped,50
Aranda,ACT Labor,2085
Aranda,Animal Justice Party,120
Aranda,Australian Climate Change Justice Party,50
Aranda,Australian Federation Party Australian Capital Territory,0
Aranda,Belco Party,205
Aranda,Canberra Liberals,835
Aranda,Canberra Progressives,10
Aranda,David Pollard Independent,0
Aranda,Labour DLP,45
Aranda,Liberal Democrats,20
Aranda,"Shooters, Fishers and Farmers Party (ACT)",40
Aranda,Sustainable Australia - Stop overdevelopment. Stop corruption.,120
Aranda,The ACT Greens,1145
Aranda,The Community Action Party (ACT),0
Aranda,Ungrouped,60
Belconnen,ACT Labor,2560
Belconnen,Animal Justice Party,170
Belconnen,Australian Climate Change Justice Party,85
Belconnen,Australian Federation Party Australian Capital Territory,0
Belconnen,Belco Party,415
Belconnen,Canberra Liberals,1640
Belconnen,Canberra Progressives,55
Belconnen,David Pollard Independent,0
Belconnen,Labour DLP,310
Belconnen,Liberal Democrats,115
Belconnen,"Shooters, Fishers and Farmers Party (ACT)",105
Belconnen,Sustainable Australia - Stop overdevelopment. Stop corruption.,160
Belconnen,The ACT Greens,1355
Belconnen,The Community Action Party (ACT),0
Belconnen,Ungrouped,145
Belconnen (Early voting),ACT Labor,44455
Belconnen (Early voting),Animal Justice Party,1735
Belconnen (Early voting),Australian Climate Change Justice Party,1110
Belconnen (Early voting),Australian Federation Party Australian Capital Territory,30
Belconnen (Early voting),Belco Party,7500
Belconnen (Early voting),Canberra Liberals,32715
Belconnen (Early voting),Canberra Progressives,685
Belconnen (Early voting),David Pollard Independent,605
Belconnen (Early voting),Labour DLP,3450
Belconnen (Early voting),Liberal Democrats,840
Belconnen (Early voting),"Shooters, Fishers and Farmers Party (ACT)",1685
Belconnen (Early voting),Sustainable Australia - Stop overdevelopment. Stop corruption.,1975
Belconnen (Early voting),The ACT Greens,15010
Belconnen (Early voting),The Community Action Party (ACT),15
Belconnen (Early voting),Ungrouped,1645
Bonner,ACT Labor,1600
Bonner,Animal Justice Party,105
Bonner,Australian Climate Change Justice Party,0
Bonner,Australian Federation Party Australian Capital Territory,0
Bonner,Belco Party,20
Bonner,Canberra Liberals,1615
Bonner,Canberra Progressives,105
Bonner,David Pollard Independent,75
Bonner,Labour DLP,250
Bonner,Liberal Democrats,0
Bonner,"Shooters, Fishers and Farmers Party (ACT)",10
Bonner,Sustainable Australia - Stop overdevelopment. Stop corruption.,35
Bonner,The ACT Greens,545
Bonner,The Community Action Party (ACT),0
Bonner,Ungrouped,45
Bonython,ACT Labor,825
Bonython,Animal Justice Party,45
Bonython,Australian Climate Change Justice Party,0
Bonython,Australian Federation Party Australian Capital Territory,15
Bonython,Belco Party,0
Bonython,Canberra Liberals,720
Bonython,Canberra Progressives,0
Bonython,David Pollard Independent,0
Bonython,Labour DLP,0
Bonython,Liberal Democrats,60
Bonython,"Shooters, Fishers and Farmers Party (ACT)",75
Bonython,Sustainable Australia - Stop overdevelopment. Stop corruption.,40
Bonython,The ACT Greens,245
Bonython,The Community Action Party (ACT),0
Bonython,Ungrouped,0
Calwell,ACT Labor,1180
Calwell,Animal Justice Party,85
Calwell,Australian Climate Change Justice Party,0
Calwell,Australian Federation Party Australian Capital Territory,30
Calwell,Belco Party,0
Calwell,Canberra Liberals,1005
Calwell,Canberra Progressives,0
Calwell,David Pollard Independent,0
Calwell,Labour DLP,0
Calwell,Liberal Democrats,45
Calwell,"Shooters, Fishers and Farmers Party (ACT)",130
Calwell,Sustainable Australia - Stop overdevelopment. Stop corruption.,85
Calwell,The ACT Greens,345
Calwell,The Community Action Party (ACT),0
Calwell,Ungrouped,0
Campbell,ACT Labor,2180
Campbell,Animal Justice Party,70
Campbell,Australian Climate Change Justice Party,70
Campbell,Australian Federation Party Australian Capital Territory,0
Campbell,Belco Party,5
Campbell,Canberra Liberals,2245
Campbell,Canberra Progressives,265
Campbell,David Pollard Independent,0
Campbell,Labour DLP,0
Campbell,Liberal Democrats,0
Campbell,"Shooters, Fishers and Farmers Party (ACT)",5
Campbell,Sustainable Australia - Stop overdevelopment. Stop corruption.,95
Campbell,The ACT Greens,1025
Campbell,The Community Action Party (ACT),35
Campbell,Ungrouped,110
Chapman,ACT Labor,1185
Chapman,Animal Justice Party,70
Chapman,Australian Climate Change Justice Party,30
Chapman,Australian Federation Party Australian Capital Territory,0
Chapman,Belco Party,0
Chapman,Canberra Liberals,1145
Chapman,Canberra Progressives,105
Chapman,David Pollard Independent,0
Chapman,Labour DLP,0
Chapman,Liberal Democrats,5
Chapman,"Shooters, Fishers and Farmers Party (ACT)",75
Chapman,Sustainable Australia - Stop overdevelopment. Stop corruption.,90
Chapman,The ACT Greens,435
Chapman,The Community Action Party (ACT),0
Chapman,Ungrouped,290
Charnwood,ACT Labor,1125
Charnwood,Animal Justice Party,115
Charnwood,Australian Climate Change Justice Party,55
Charnwood,Australian Federation Party Australian Capital Territory,0
Charnwood,Belco Party,475
Charnwood,Canberra Liberals,1030
Charnwood,Canberra Progressives,5
Charnwood,David Pollard Independent,0
Charnwood,Labour DLP,95
Charnwood,Liberal Democrats,40
Charnwood,"Shooters, Fishers and Farmers Party (ACT)",130
Charnwood,Sustainable Australia - Stop overdevelopment. Stop corruption.,55
Charnwood,The ACT Greens,210
Charnwood,The Community Action Party (ACT),0
Charnwood,Ungrouped,35
Charnwood North,ACT Labor,405
Charnwood North,Animal Justice Party,15
Charnwood North,Australian Climate Change Justice Party,10
Charnwood North,Australian Federation Party Australian Capital Territory,0
Charnwood North,Belco Party,110
Charnwood North,Canberra Liberals,190
Charnwood North,Canberra Progressives,0
Charnwood North,David Pollard Independent,0
Charnwood North,Labour DLP,25
Charnwood North,Liberal Democrats,0
Charnwood North,"Shooters, Fishers and Farmers Party (ACT)",60
Charnwood North,Sustainable Australia - Stop overdevelopment. Stop corruption.,20
Charnwood North,The ACT Greens,125
Charnwood North,The Community Action Party (ACT),0
Charnwood North,Ungrouped,15
Chisholm,ACT Labor,1195
Chisholm,Animal Justice Party,90
Chisholm,Australian Climate Change Justice Party,0
Chisholm,Australian Federation Party Australian Capital Territory,45
Chisholm,Belco Party,0
Chisholm,Canberra Liberals,1235
Chisholm,Canberra Progressives,0
Chisholm,David Pollard Independent,0
Chisholm,Labour DLP,0
Chisholm,Liberal Democrats,75
Chisholm,"Shooters, Fishers and Farmers Party (ACT)",125
Chisholm,Sustainable Australia - Stop overdevelopment. Stop corruption.,75
Chisholm,The ACT Greens,275
Chisholm,The Community Action Party (ACT),0
Chisholm,Ungrouped,0
Chisholm (Early voting),ACT Labor,20090
Chisholm (Early voting),Animal Justice Party,1085
Chisholm (Early voting),Australian Climate Change Justice Party,35
Chisholm (Early voting),Australian Federation Party Australian Capital Territory,475
Chisholm (Early voting),Belco Party,55
Chisholm (Early voting),Canberra Liberals,21560
Chisholm (Early voting),Canberra Progressives,35
Chisholm (Early voting),David Pollard Independent,0
Chisholm (Early voting),Labour DLP,60
Chisholm (Early voting),Liberal Democrats,600
Chisholm (Early voting),"Shooters, Fishers and Farmers Party (ACT)",1645
Chisholm (Early voting),Sustainable Australia - Stop overdevelopment. Stop corruption.,960
Chisholm (Early voting),The ACT Greens,4560
Chisholm (Early voting),The Community Action Party (ACT),0
Chisholm (Early voting),Ungrouped,120
City,ACT Labor,1045
City,Animal Justice Party,45
City,Australian Climate Change Justice Party,30
City,Australian Federation Party Australian Capital Territory,0
City,Belco Party,0
City,Canberra Liberals,550
City,Canberra Progressives,135
City,David Pollard Independent,0
City,Labour DLP,15
City,Liberal Democrats,5
City,"Shooters, Fishers and Farmers Party (ACT)",0
City,Sustainable Australia - Stop overdevelopment. Stop corruption.,25
City,The ACT Greens,625
City,The Community Action Party (ACT),0
City,Ungrouped,40
City (Early voting),ACT Labor,14180
City (Early voting),Animal Justice Party,490
City (Early voting),Australian Climate Change Justice Party,300
City (Early voting),Australian Federation Party Australian Capital Territory,5
City (Early voting),Belco Party,350
City (Early voting),Canberra Liberals,8585
City (Early voting),Canberra Progressives,1530
City (Early voting),David Pollard Independent,175
City (Early voting),Labour DLP,310
City (Early voting),Liberal Democrats,35
City (Early voting),"Shooters, Fishers and Farmers Party (ACT)",150
City (Early voting),Sustainable Australia - Stop overdevelopment. Stop corruption.,520
City (Early voting),The ACT Greens,7400
City (Early voting),The Community Action Party (ACT),50
City (Early voting),Ungrouped,610
City East,ACT Labor,1130
City East,Animal Justice Party,40
City East,Australian Climate Change Justice Party,70
City East,Australian Federation Party Australian Capital Territory,0
City East,Belco Party,25
City East,Canberra Liberals,615
City East,Canberra Progressives,100
City East,David Pollard Independent,0
City East,Labour DLP,10
City East,Liberal Democrats,5
City East,"Shooters, Fishers and Farmers Party (ACT)",5
City East,Sustainable Australia - Stop overdevelopment. Stop corruption.,20
City East,The ACT Greens,835
City East,The Community Action Party (ACT),0
City East,Ungrouped,50
City East (Early Voting),ACT Labor,17160
City East (Early Voting),Animal Justice Party,620
City East (Early Voting),Australian Climate Change Justice Party,505
City East (Early Voting),Australian Federation Party Australian Capital Territory,50
City East (Early Voting),Belco Party,250
City East (Early Voting),Canberra Liberals,10615
City East (Early Voting),Canberra Progressives,1795
City East (Early Voting),David Pollard Independent,170
City East (Early Voting),Labour DLP,245
City East (Early Voting),Liberal Democrats,55
City East (Early Voting),"Shooters, Fishers and Farmers Party (ACT)",140
City East (Early Voting),Sustainable Australia - Stop overdevelopment. Stop corruption.,685
City East (Early Voting),The ACT Greens,8525
City East (Early Voting),The Community Action Party (ACT),105
City East (Early Voting),Ungrouped,930
Coombs,ACT Labor,1495
Coombs,Animal Justice Party,105
Coombs,Australian Climate Change Justice Party,70
Coombs,Australian Federation Party Australian Capital Territory,0
Coombs,Belco Party,0
Coombs,Canberra Liberals,1640
Coombs,Canberra Progressives,170
Coombs,David Pollard Independent,0
Coombs,Labour DLP,0
Coombs,Liberal Democrats,0
Coombs,"Shooters, Fishers and Farmers Party (ACT)",85
Coombs,Sustainable Australia - Stop overdevelopment. Stop corruption.,75
Coombs,The ACT Greens,545
Coombs,The Community Action Party (ACT),0
Coombs,Ungrouped,235
Curtin,ACT Labor,1630
Curtin,Animal Justice Party,75
Curtin,Australian Climate Change Justice Party,85
Curtin,Australian Federation Party Australian Capital Territory,0
Curtin,Belco Party,0
Curtin,Canberra Liberals,1225
Curtin,Canberra Progressives,180
Curtin,David Pollard Independent,0
Curtin,Labour DLP,0
