candidate,party,counts,electorate
Cathy DAY,ACT Labor,"[2592, 2595, 2599, 2604, 2611, 2623, 2637, 2645, 2670, 2716, 2774, 2828, 2850, 3355, 3480, 3536, 0, nan, nan, nan, nan, nan, nan, nan, nan]",brindabella
Taimus WERNER-GIBBINGS,ACT Labor,"[4568, 4568, 4571, 4576, 4593, 4598, 4612, 4621, 4661, 4722, 4811, 4883, 4964, 5475, 5578, 5619, 6501, 0, nan, nan, nan, nan, nan, nan, nan]",brindabella
Joy BURCH,ACT Labor,"[6459, 6463, 6470, 6475, 6495, 6508, 6535, 6542, 6612, 6692, 6798, 6904, 6936, 7518, 7719, 7871, 9088, 11480, 9236, 9236, 9236, 9236, 9236, 9236, 9236]",brindabella
Mick GENTLEMAN,ACT Labor,"[6395, 6397, 6401, 6404, 6414, 6427, 6453, 6470, 6520, 6573, 6650, 6843, 6878, 7460, 7545, 7609, 8305, 10687, 10687, 9236, 9236, 9236, 9236, 9236, 9236]",brindabella
Brendan FORDE,ACT Labor,"[2546, 2549, 2551, 2553, 2561, 2574, 2594, 2607, 2635, 2662, 2696, 2776, 2794, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",brindabella
Robyn SOXSMITH,Animal Justice Party,"[582, 584, 589, 599, 608, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",brindabella
Jannah FAHIZ,Animal Justice Party,"[653, 654, 656, 672, 689, 1030, 1058, 1096, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",brindabella
Johnathan DAVIS,The ACT Greens,"[3019, 3019, 3024, 3032, 3050, 3084, 3099, 3107, 3192, 3635, 3855, 3966, 3988, 4142, 6260, 6313, 6583, 7263, 7916, 8578, 8744, 8752, 8765, 9036, 9298]",brindabella
Sue ELLERMAN,The ACT Greens,"[1309, 1311, 1312, 1326, 1338, 1358, 1379, 1391, 1532, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",brindabella
Laura NUTTALL,The ACT Greens,"[1657, 1657, 1662, 1680, 1690, 1722, 1741, 1749, 1892, 2549, 2809, 2895, 2915, 3008, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",brindabella
Mark PARTON,Canberra Liberals,"[6218, 6222, 6240, 6242, 6277, 6289, 6339, 6352, 6380, 6392, 6456, 6716, 7294, 7350, 7378, 8197, 8282, 8455, 8507, 8590, 11404, 11404, 11404, 11404, 9236]",brindabella
James DANIELS,Canberra Liberals,"[2179, 2179, 2183, 2191, 2220, 2229, 2290, 2312, 2345, 2367, 2393, 2510, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",brindabella
Jane HIATT,Canberra Liberals,"[2448, 2452, 2464, 2467, 2505, 2513, 2558, 2573, 2604, 2621, 2683, 2794, 3239, 3268, 3333, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan]",brindabella
Andrew WALL,Canberra Liberals,"[4579, 4580, 4592, 4598, 4657, 4664, 4722, 4747, 4770, 4787, 4842, 5022, 5622, 5689, 5714, 6548, 6611, 6743, 6780, 6824, 81, 44, 0, nan, nan]",brindabella
Nicole LAWDER,Canberra Liberals,"[5866, 5869, 5874, 5883, 5931, 5935, 6004, 6025, 6068, 6093, 6191, 6355, 6915, 7030, 7121, 8245, 8364, 8588, 8662, 8737, 11835, 11835, 11835, 9236, 9236]",brindabella
Jacob GOWOR,Liberal Democrats,"[318, 322, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",brindabella
Matthew KNIGHT,Liberal Democrats,"[427, 429, 628, 633, 663, 667, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",brindabella
Andrew CLAPHAM,Sustainable Australia - Stop overdevelopment. Stop corruption.,"[763, 773, 781, 1128, 1210, 1253, 1312, 1338, 1573, 1608, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",brindabella
Bruce WILLETT,Sustainable Australia - Stop overdevelopment. Stop corruption.,"[514, 516, 521, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",brindabella
Greg BAYNHAM,"Shooters, Fishers and Farmers Party (ACT)","[894, 909, 918, 929, 977, 1007, 1053, 1781, 1853, 1865, 2145, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",brindabella
Adrian OLLEY,"Shooters, Fishers and Farmers Party (ACT)","[833, 841, 846, 871, 916, 922, 983, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",brindabella
Scott SANDFORD,Australian Federation Party Australian Capital Territory,"[148, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",brindabella
Jason POTTER,Australian Federation Party Australian Capital Territory,"[446, 523, 526, 545, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",brindabella
exhausted,nan,"[0.0, 1.0, 5.0, 5.0, 8.0, 10.0, 44.0, 57.0, 106.0, 131.0, 310.0, 921.0, 1018.0, 1118.0, 1285.0, 1475.0, 1679.0, 2197.0, 2197.0, 2197.0, 2862.0, 2891.0, 2922.0, 2922.0, 2922.0]",brindabella
comment,nan,"['First preferences Scott SANDFORD to be excluded.', ' Jacob GOWOR to be excluded.', ' Bruce WILLETT to be excluded.', ' Jason POTTER to be excluded.', ' Robyn SOXSMITH to be excluded.', ' Matthew KNIGHT to be excluded.', ' Adrian OLLEY to be excluded.', ' Jannah FAHIZ to be excluded.', ' Sue ELLERMAN to be excluded.', ' Andrew CLAPHAM to be excluded.', ' Greg BAYNHAM to be excluded.', ' James DANIELS to be excluded.', ' Brendan FORDE to be excluded.', ' Laura NUTTALL to be excluded.', ' Jane HIATT to be excluded.', ' Cathy DAY to be excluded.', ' Taimus WERNER-GIBBINGS to be excluded.', ' Joy BURCH elected 1. Mick GENTLEMAN elected 2.', nan, ' Andrew WALL to be excluded.', ' Nicole LAWDER elected 3. Mark PARTON elected 4. Andrew WALL partially excluded.', ' Andrew WALL fully excluded.', nan, nan, ' Johnathan DAVIS elected 5.']",brindabella
Oliver SMITH,"Shooters, Fishers and Farmers Party (ACT)","[614, 617, 617, 619, 640, 647, 659, 662, 673, 679, 690, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",ginninderra
Matthew OGILVIE,"Shooters, Fishers and Farmers Party (ACT)","[676, 676, 679, 679, 696, 702, 704, 704, 710, 720, 738, 1103, 1134, 1163, 1222, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",ginninderra
Helen McCLURE,Labour DLP,"[724, 729, 729, 732, 742, 746, 756, 757, 770, 773, 1098, 1174, 1194, 1205, 1231, 1332, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",ginninderra
Ian McCLURE,Labour DLP,"[623, 623, 624, 626, 634, 637, 641, 643, 644, 646, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",ginninderra
Oksana DEMETRIOS,Australian Climate Change Justice Party,"[200, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",ginninderra
Jonathan STAVRIDIS,Australian Climate Change Justice Party,"[215, 260, 261, 396, 400, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",ginninderra
Sok Kheng NGEP,Australian Climate Change Justice Party,"[203, 240, 240, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",ginninderra
Carolyne DREW,Animal Justice Party,"[418, 438, 438, 449, 460, 493, 501, 519, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",ginninderra
Lara DREW,Animal Justice Party,"[541, 555, 556, 569, 574, 621, 627, 633, 941, 961, 1007, 1037, 1077, 1088, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",ginninderra
Paul GABRIEL,Sustainable Australia - Stop overdevelopment. Stop corruption.,"[408, 428, 428, 437, 447, 480, 488, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",ginninderra
Mark O'CONNOR,Sustainable Australia - Stop overdevelopment. Stop corruption.,"[579, 584, 585, 591, 595, 644, 653, 975, 994, 1025, 1045, 1075, 1167, 1193, 1386, 1548, 1655, 1672, 1673.1, 1704.1, 1704.1, 1.1, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",ginninderra
Vijay DUBEY,Belco Party,"[414, 416, 418, 418, 429, 435, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",ginninderra
Angela LOUNT,Belco Party,"[493, 493, 495, 496, 501, 507, 551, 559, 569, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",ginninderra
Alan TUTT,Belco Party,"[626, 627, 631, 636, 644, 648, 700, 705, 715, 791, 802, 816, 845, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",ginninderra
Bill STEFANIAK,Belco Party,"[2214, 2216, 2222, 2228, 2247, 2255, 2322, 2333, 2339, 2452, 2462, 2484, 2536, 2833, 2868, 3004, 3080, 3089, 3090.1, 3109.1, 3109.1, 3262.1, 3262.1, 3297.1, 3297.1, 3340.1, 3340.1, 4722.1, 4722.1, 4883.1, 4883.1, 4920.1, 4920.1, 5061.1, 5061.1, 1.1, 0, nan, nan, nan, nan, nan, nan]",ginninderra
Chic HENRY,Belco Party,"[1517, 1518, 1522, 1523, 1537, 1543, 1597, 1602, 1615, 1725, 1732, 1767, 1787, 2015, 2062, 2261, 2335, 2364, 2365.65, 2380.65, 2380.65, 2521.65, 2521.65, 2540.65, 2540.65, 2557.65, 2557.65, 1.65, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",ginninderra
Ignatius ROZARIO,Canberra Liberals,"[1608, 1609, 1613, 1613, 1641, 1645, 1671, 1678, 1687, 1696, 1701, 1712, 1730, 1737, 1749, 1776, 1824, 1830, 1830, 1838, 1838.55, 1865.55, 1865.55, 1870.55, 1870.55, 0.55, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",ginninderra
Elizabeth KIKKERT,Canberra Liberals,"[5222, 5223, 5233, 5236, 5267, 5278, 5289, 5297, 5302, 5334, 5352, 5364, 5399, 5432, 5470, 5534, 5602, 5617, 5618.1, 5634.1, 5634.1, 5714.1, 5714.1, 5740.1, 5740.1, 6261.1, 6261.1, 6385.1, 6385.1, 7503.1, 7503.1, 7549.1, 7549.65, 9199.65, 9199.65, 10106.65, 10106.65, 9338, 9338, 9338, 9338, 9338, 9338]",ginninderra
Robert GUNNING,Canberra Liberals,"[2822, 2822, 2823, 2824, 2847, 2852, 2861, 2865, 2871, 2884, 2892, 2901, 2918, 2951, 2975, 3050, 3083, 3094, 3094.55, 3106.55, 3106.55, 3165.55, 3165.55, 3176.55, 3176.55, 3558.55, 3558.55, 3674.55, 3674.55, 4236.55, 4236.55, 4259.55, 4259.55, 0.55, 0, nan, nan, nan, nan, nan, nan, nan, nan]",ginninderra
Kacey LAM,Canberra Liberals,"[2256, 2258, 2267, 2270, 2287, 2296, 2313, 2319, 2330, 2354, 2367, 2378, 2399, 2413, 2436, 2455, 2496, 2502, 2503.1, 2523.1, 2523.1, 2558.1, 2558.1, 2609.1, 2609.65, 2899.65, 2900.2, 2971.2, 2971.2, 2.2, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",ginninderra
Peter CAIN,Canberra Liberals,"[3069, 3074, 3080, 3081, 3106, 3107, 3117, 3121, 3124, 3129, 3142, 3154, 3176, 3196, 3216, 3276, 3331, 3360, 3361.65, 3376.65, 3376.65, 3436.65, 3436.65, 3454.65, 3455.2, 3802.2, 3802.2, 3919.2, 3919.2, 4500.2, 4500.75, 4544.75, 4544.75, 6379.75, 6379.75, 7032.75, 7032.75, 7539.75, 7819.75, 7824.75, 7825.85, 7993.85, 8294.85]",ginninderra
Guy JAKEMAN,Liberal Democrats,"[258, 259, 384, 384, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",ginninderra
Dominic DE LUCA,Liberal Democrats,"[206, 206, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",ginninderra
Katt MILLNER,The ACT Greens,"[2242, 2257, 2259, 2261, 2280, 2312, 2325, 2349, 2373, 2383, 2392, 2402, 2451, 2458, 2581, 2595, 2681, 2709, 2712.3, 3306.3, 3307.95, 3458.95, 3458.95, 3516.95, 3517.5, 3577.5, 3577.5, 3627.5, 3627.5, 3690.5, 3690.5, 5.5, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",ginninderra
Jo CLAY,The ACT Greens,"[3495, 3499, 3503, 3511, 3524, 3570, 3572, 3587, 3595, 3617, 3633, 3635, 3709, 3722, 3861, 3875, 3929, 3975, 3985.45, 4579.45, 4580, 4913, 4913.55, 4968.55, 4970.2, 4991.2, 4991.2, 5052.2, 5052.2, 5148.2, 5148.2, 7821.2, 7823.4, 7873.4, 7873.4, 8087.4, 8087.4, 8108.4, 8668.4, 8669.4, 8688.1, 9937.1, 9338]",ginninderra
Tim LIERSCH,The ACT Greens,"[1269, 1274, 1277, 1286, 1294, 1315, 1322, 1329, 1343, 1348, 1359, 1362, 1405, 1418, 1494, 1513, 1556, 1596, 1599.3, 3.3, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",ginninderra
Tara CHEYNE,ACT Labor,"[6306, 6307, 6309, 6315, 6328, 6339, 6360, 6366, 6380, 6394, 6404, 6409, 6464, 6480, 6527, 6559, 6690, 6995, 7056.6, 7137.6, 7137.6, 7247.6, 7248.15, 8039.15, 8047.4, 8103.4, 8103.4, 8238.4, 8238.4, 8352.4, 8352.95, 8720.95, 8721.5, 8811.5, 8811.5, 9099.5, 9099.5, 9137.5, 13989.5, 13989.5, 13989.5, 9338, 9338]",ginninderra
Yvette BERRY,ACT Labor,"[8756, 8759, 8761, 8766, 8779, 8795, 8805, 8810, 8819, 8843, 8875, 8882, 8942, 8974, 9022, 9085, 9180, 9525, 9338, 9338, 9338, 9338, 9338, 9338, 9338, 9338, 9338, 9338, 9338, 9338, 9338, 9338, 9338, 9338, 9338, 9338, 9338, 9338, 9338, 9338, 9338, 9338, 9338]",ginninderra
Gordon RAMSAY,ACT Labor,"[4783, 4786, 4791, 4795, 4803, 4812, 4832, 4840, 4844, 4852, 4870, 4880, 4922, 4952, 4995, 5048, 5145, 5471, 5531.5, 5635.5, 5636.05, 5748.05, 5748.05, 6329.05, 6353.25, 6398.25, 6398.25, 6543.25, 6544.35, 6625.35, 6625.9, 6816.9, 6818, 6991, 6991, 7347, 7347, 7373, 114, 88, 0, nan, nan]",ginninderra
Sue DUCKER,ACT Labor,"[1288, 1288, 1291, 1292, 1294, 1297, 1301, 1301, 1305, 1314, 1328, 1329, 1343, 1349, 1363, 1385, 1466, 1670, 1709.6, 1737.6, 1737.6, 1771.6, 1771.6, 39.6, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",ginninderra
Greg LLOYD,ACT Labor,"[1276, 1279, 1281, 1282, 1290, 1292, 1295, 1297, 1298, 1306, 1325, 1331, 1345, 1352, 1376, 1391, 1448, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",ginninderra
Mignonne CULLEN,Ungrouped,"[704, 704, 705, 706, 720, 730, 736, 746, 753, 763, 766, 774, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",ginninderra
exhausted,nan,"[0.0, 1.0, 3.0, 4.0, 19.0, 27.0, 27.0, 28.0, 31.0, 36.0, 45.0, 56.0, 82.0, 94.0, 191.0, 338.0, 524.0, 556.0, 556.0, 615.0, 615.0, 1023.0, 1023.0, 1105.0, 1108.0, 1196.0, 1196.0, 1551.0, 1551.0, 1744.0, 1744.0, 2047.0, 2048.0, 2368.0, 2368.0, 5010.0, 5011.0, 5011.0, 6578.0, 6598.0, 6666.0, 6666.0, 6666.0]",ginninderra
comment,nan,"['First preferences Oksana DEMETRIOS to be excluded.', ' Dominic DE LUCA to be excluded.', ' Sok Kheng NGEP to be excluded.', ' Guy JAKEMAN to be excluded.', ' Jonathan STAVRIDIS to be excluded.', ' Vijay DUBEY to be excluded.', ' Paul GABRIEL to be excluded.', ' Carolyne DREW to be excluded.', ' Angela LOUNT to be excluded.', ' Ian McCLURE to be excluded.', ' Oliver SMITH to be excluded.', ' Mignonne CULLEN to be excluded.', ' Alan TUTT to be excluded.', ' Lara DREW to be excluded.', ' Matthew OGILVIE to be excluded.', ' Helen McCLURE to be excluded.', ' Greg LLOYD to be excluded.', ' Yvette BERRY elected 1.', ' Tim LIERSCH to be excluded.', ' Tim LIERSCH fully excluded.', "" Mark O'CONNOR to be excluded."", "" Mark O'CONNOR fully excluded."", ' Sue DUCKER to be excluded.', ' Sue DUCKER fully excluded.', ' Ignatius ROZARIO to be excluded.', ' Ignatius ROZARIO fully excluded.', ' Chic HENRY to be excluded.', ' Chic HENRY fully excluded.', ' Kacey LAM to be excluded.', ' Kacey LAM fully excluded.', ' Katt MILLNER to be excluded.', ' Katt MILLNER fully excluded.', ' Robert GUNNING to be excluded.', ' Robert GUNNING fully excluded.', ' Bill STEFANIAK to be excluded.', ' Elizabeth KIKKERT elected 2. Bill STEFANIAK fully excluded.', nan, ' Gordon RAMSAY to be excluded.', ' Tara CHEYNE elected 3. Gordon RAMSAY partially excluded.', ' Gordon RAMSAY fully excluded.', nan, ' Jo CLAY elected 4.', ' Peter CAIN elected 5.']",ginninderra
Adriana BOISEN,The ACT Greens,"[1250, 1277.386972, 1277.386972, 1277.386972, 1282.386972, 1282.386972, 1287.386972, 1288.120552, 1292.120552, 1292.365079, 1300.365079, 1300.365079, 1304.365079, 1304.609606, 1313.609606, 1314.098659, 1330.098659, 1330.587712, 1359.587712, 1359.587712, 1401.587712, 1403.543924, 1445.543924, 1446.032977, 1460.032977, 1461.011083, 1686.011083, 1689.678981, 1721.678981, 1722.168034, 1776.168034, 1776.901614, 37.901614, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",kurrajong
Michael BREWER,The ACT Greens,"[904, 930.408866, 931.408866, 931.897919, 934.897919, 934.897919, 934.897919, 934.897919, 938.897919, 938.897919, 951.897919, 952.142446, 960.142446, 960.142446, 967.142446, 967.631499, 981.631499, 982.120552, 997.120552, 997.609605, 1027.609605, 1027.854132, 1066.854132, 1068.076765, 1071.076765, 1071.076765, 30.076765, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",kurrajong
Shane RATTENBURY,The ACT Greens,"[6388, 6703.439229, 6704.439229, 6704.928282, 6711.928282, 6712.417335, 6718.417335, 6718.906388, 6724.906388, 6725.150915, 6735.150915, 6735.884495, 6748.884495, 6749.862601, 6761.862601, 6763.085234, 6819.085234, 6822.753132, 6853.753132, 6854.242185, 6946.242185, 6948.442924, 7020.442924, 7023.132716, 7034.132716, 7034.621769, 7298.621769, 7302.534194, 7373.534194, 7374.756827, 7487.756827, 7490.935672, 7978.935672, 7985.293362, 8078.293362, 8097.121905, 8133.121905, 8134.833591, 8728.833591, 8728.833591, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434]",kurrajong
Rebecca VASSAROTTI,The ACT Greens,"[3093, 3142.39436, 3143.39436, 3143.39436, 3150.39436, 3150.39436, 3151.39436, 3151.39436, 3157.39436, 3157.39436, 3174.39436, 3175.861519, 3186.861519, 3187.106046, 3194.106046, 3194.350573, 3220.350573, 3220.839626, 3254.839626, 3255.084153, 3337.084153, 3339.040365, 3426.040365, 3427.507524, 3432.507524, 3432.752051, 3729.752051, 3732.686369, 3783.686369, 3785.398055, 3949.398055, 3951.598794, 4800.598794, 4810.135329, 4906.135329, 4915.182811, 4941.182811, 4941.427338, 5552.427338, 5555.606183, 5780.295612, 6028.295612, 6031.717278, 6063.99478, 6167.99478, 6167.99478, 6170.684572, 6636.684572, 6643.527905, 6848.685667, 7343.315141, 7466.315141, 7467.455696, 7479.485973, 7487.066296, 8013.066296]",kurrajong
